Generation	Smiles
G0	N
G0	O
G0	C(C(C(C(C(CO)O)O)O)O)=O
G1	C(CO)=O
G1	C(C(C(CO)O)O)=O
G1	C(CO)(C(C(C(CO)O)O)O)=O
G1	C(CN)(C(C(C(CO)O)O)O)=O
G1	C(C(C(C(C(CO)O)O)O)O)(O)=O
G1	C(C(C(C(C(CO)O)O)O)O)O
G1	C(C(CC(C(CO)O)O)=O)=O
G1	C(CC(C(C(CO)O)O)=O)=O
G1	C(C(C(CC(CO)O)=O)O)=O
G1	C(CC(C=O)O)(C(CO)O)=O
G1	C(C(C(C=O)O)O)(CCO)=O
G1	C(C(C(CC(CO)=O)O)O)=O
G1	C(C(C(C(C(C)=O)O)O)O)=O
G1	C(CC(C(C(C=O)O)O)O)=O
G1	C(C(C(C(C(CO)O)O)N)O)=O
G1	C(C(C1C(C(C(O)O1)O)O)O)O
G1	C(C1C(C(C(C(O)O1)O)O)O)O
G1	C1C(C(C(C(C(O)O1)O)O)O)O
G2	C1(C(C(C(C1CO)O)O)O)=O
G2	C1(C(C(C(C(C1)O)O)O)O)=O
G2	C(C1C(C(C(C1O)O)O)O)=O
G2	C(C(CC(C(CO)O)O)O)(O)=O
G2	C(C(C(C(C(CO)O)O)O)=O)=O
G2	C(CO)(CO)=O
G2	C(C(CO)O)=O
G2	C(CO)(CN)=O
G2	C(C(C)=O)=O
G2	C(CC(CO)=O)=O
G2	C(C(C(C)=O)O)=O
G2	C(C=O)=O
G2	C(C)(C(CO)O)=O
G2	C(C(CC(CO)=O)O)=O
G2	C=O
G2	C(C(CCO)=O)=O
G2	C(CO)(CCO)=O
G2	C(C(C(C(C)=O)O)O)=O
G2	C(C(C=O)O)=O
G2	C(C)(CO)=O
G2	C(CC(C=O)O)=O
G2	C(C(C(C=O)O)O)=O
G2	C(C)=O
G2	C(CO)(C(CO)O)=O
G2	C(C(C(CO)O)O)(C(CO)O)=O
G2	C(C(C(CO)O)O)(C(CN)O)=O
G2	C(CC(C(C(CO)O)=O)O)=O
G2	C(C(CO)=O)(CC(CO)O)=O
G2	C(C(C(CC(CO)O)O)=O)=O
G2	C(C(CO)O)(CC(CO)=O)=O
G2	C(C(CC(C(CO)=O)O)O)=O
G2	C(CCO)(C(C(CO)=O)O)=O
G2	C(C(C(C(CCO)O)=O)O)=O
G2	C(CO)(C(CC(CO)=O)O)=O
G2	C(C(C(CC(C=O)O)O)O)=O
G2	C(C)(C(C(C(CO)=O)O)O)=O
G2	C(C(C(C=O)O)O)(C(C)O)=O
G2	C(CC(C(C(CO)=O)O)O)=O
G2	C(CO)(C(C(C(CO)O)O)N)=O
G2	C(CN)=O
G2	C(CN)(C(CO)O)=O
G2	C(C(C(C(C(CO)O)O)O)N)=O
G2	C(C(C(CO)O)O)(C(CO)N)=O
G2	C(C(C(CO)O)O)(C(CN)N)=O
G2	C(CC(C(C(CO)O)=O)N)=O
G2	C(C(CN)=O)(CC(CO)O)=O
G2	C(C(C(CC(CO)O)N)=O)=O
G2	C(C(CO)O)(CC(CN)=O)=O
G2	C(C(CC(C(CO)=O)N)O)=O
G2	C(CCO)(C(C(CN)=O)O)=O
G2	C(C(C(C(CCO)N)=O)O)=O
G2	C(CN)(C(CC(CO)=O)O)=O
G2	C(C(CC(C(C=O)O)O)N)=O
G2	C(C)(C(C(C(CN)=O)O)O)=O
G2	C(C(C(C=O)O)O)(C(C)N)=O
G2	C(CC(C(C(CN)=O)O)O)=O
G2	C(CN)(C(C(C(CO)O)O)N)=O
G2	C(CO)O
G2	C(C(C(CO)O)O)O
G2	C(CO)(CC(C(CO)O)O)=O
G2	C(C(C(CO)O)O)(CCO)=O
G2	C(C(CO)O)(CC(CO)O)=O
G2	C(C)(C(C(C(CO)O)O)O)=O
G2	C(CC(C(C(CO)O)O)O)=O
G2	C(C(C(C(CCO)O)O)O)=O
G2	C(C(C(C(C(CO)O)N)O)O)O
G2	C(CO)(O)=O
G2	C(C(C(CO)O)O)(O)=O
G2	C(C(CC(C(CO)O)O)=O)(O)=O
G2	C(CC(C(C(CO)O)O)=O)(O)=O
G2	C(C(C(CC(CO)O)=O)O)(O)=O
G2	C(CC(C(O)=O)O)(C(CO)O)=O
G2	C(C(C(C(O)=O)O)O)(CCO)=O
G2	C(C(C(CC(CO)=O)O)O)(O)=O
G2	C(C(C(C(C(C)=O)O)O)O)(O)=O
G2	C(CC(C(C(C(O)=O)O)O)O)=O
G2	C(CC(C(C(C=O)O)O)O)(O)=O
G2	C(C(C(C(C(CO)O)O)N)O)(O)=O
G2	C1(CC(C(C1(CO)O)O)O)=O
G2	C(C1(C(C(CC1O)O)O)O)=O
G2	C(C(C(CO)O)(C(CO)O)O)=O
G2	C(CC(C(C(CO)O)N)=O)=O
G2	C(C(C(CC(CO)O)=O)N)=O
G2	C(CC(C=O)O)(C(CO)N)=O
G2	C(C(C(C=O)O)N)(CCO)=O
G2	C(C(C(C(C(C)=O)N)O)O)=O
G2	C(CCO)(CC(C=O)=O)=O
G2	C(CO)(CCC(C=O)=O)=O
G2	C(C)(C(CC(C=O)=O)O)=O
G2	C(CC(CC(C=O)=O)O)=O
G2	C(CC(C(CCO)=O)=O)=O
G2	C(CC(CC(CO)=O)=O)=O
G2	C(CC(C(C(C)=O)O)=O)=O
G2	C(CC(C(CC=O)O)=O)=O
G2	C(C(C=O)O)(CC(C)=O)=O
G2	C(C(C(CCC=O)=O)O)=O
